"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.08.2024","936,25","936,75","937,12","936,25","","0,05%"
"07.08.2024","935,75","936,50","936,75","935,75","","0,03%"
"06.08.2024","935,50","935,75","936,12","935,25","","0,08%"
"05.08.2024","934,75","934,75","935,50","934,50","","0,16%"
"02.08.2024","933,25","933,25","933,25","932,25","","0,16%"
"01.08.2024","931,75","932,75","932,99","931,75","","0,11%"
"31.07.2024","930,75","931,75","932,25","930,75","","-0,16%"
"30.07.2024","932,25","931,25","932,25","931,00","","0,05%"
"29.07.2024","931,75","930,75","931,75","930,38","","0,30%"
"26.07.2024","929,00","929,25","929,30","928,75","","-0,05%"
"25.07.2024","929,50","928,00","929,50","928,00","","0,16%"
"24.07.2024","928,00","927,75","928,12","927,38","","0,22%"
"23.07.2024","926,00","926,50","926,87","925,88","","0,03%"
"22.07.2024","925,75","926,25","926,62","925,75","","0,14%"
"19.07.2024","924,50","925,75","925,75","923,50","","-0,03%"
"18.07.2024","924,75","923,25","924,75","922,63","","0,19%"
"17.07.2024","923,00","923,00","923,25","921,99","","0,03%"
"16.07.2024","922,75","922,50","923,25","922,25","","0,05%"
"15.07.2024","922,25","922,00","922,25","921,75","","0,33%"
"12.07.2024","919,25","919,50","919,62","918,88","","0,00%"
"11.07.2024","919,25","919,75","920,25","919,13","","0,05%"
"10.07.2024","918,75","919,25","919,62","918,75","","0,16%"
"09.07.2024","917,25","917,25","917,25","917,25","","0,00%"
"08.07.2024","917,25","917,50","918,00","916,75","","0,19%"
"05.07.2024","915,50","916,75","916,75","915,08","","0,19%"
"04.07.2024","913,75","913,75","913,75","913,75","","0,00%"
"03.07.2024","913,75","914,75","915,62","913,50","","-0,05%"
"02.07.2024","914,25","914,00","914,75","913,63","","0,08%"
"01.07.2024","913,50","913,75","914,00","912,00","","0,22%"
"28.06.2024","911,50","911,25","912,24","911,00","","0,05%"
"27.06.2024","911,00","911,75","911,87","911,00","","0,00%"
"26.06.2024","911,00","910,75","911,00","909,49","","0,19%"
"25.06.2024","909,25","909,50","909,75","909,25","","0,06%"
"24.06.2024","908,75","909,00","909,25","908,75","","0,35%"
"21.06.2024","905,55","905,75","905,75","905,55","","-0,02%"
"20.06.2024","905,75","905,75","905,75","905,74","","0,00%"
"19.06.2024","905,75","905,75","905,75","905,75","","0,00%"
"18.06.2024","905,75","905,50","906,25","905,25","","0,36%"
"17.06.2024","902,50","902,50","902,50","902,50","","-0,08%"
"14.06.2024","903,25","902,00","903,25","902,00","","0,11%"
"13.06.2024","902,25","902,50","903,12","902,00","","0,06%"
"12.06.2024","901,75","902,00","902,37","901,75","","-0,03%"
"11.06.2024","902,00","902,00","902,62","901,26","","0,03%"
"10.06.2024","901,75","901,25","901,75","901,25","","0,28%"
"07.06.2024","899,25","899,50","899,50","898,50","","0,08%"
"06.06.2024","898,50","897,75","898,75","897,75","","0,00%"
"05.06.2024","898,50","898,00","898,50","897,63","","0,17%"
"04.06.2024","897,00","897,25","897,50","895,24","","0,06%"
"03.06.2024","896,50","897,00","897,00","895,24","","0,08%"
"31.05.2024","895,75","895,25","895,75","895,13","","0,17%"
"30.05.2024","894,25","894,00","894,75","893,88","","0,06%"
"29.05.2024","893,75","893,50","893,87","893,39","","0,03%"
"28.05.2024","893,50","893,25","893,62","893,13","","0,00%"
"27.05.2024","893,50","892,75","893,50","892,75","","0,31%"
"24.05.2024","890,75","890,75","890,87","890,63","","0,06%"
"23.05.2024","890,25","890,00","890,37","889,88","","0,03%"
"22.05.2024","890,00","889,75","890,12","889,63","","0,08%"
"21.05.2024","889,25","889,25","889,37","889,13","","0,06%"
"20.05.2024","888,75","888,75","888,87","888,63","","0,23%"
"17.05.2024","886,75","886,50","886,87","886,38","","0,06%"
"16.05.2024","886,25","886,25","886,25","886,25","","0,06%"
"15.05.2024","885,75","885,75","885,87","885,63","","0,06%"
"14.05.2024","885,25","885,25","885,37","885,13","","0,11%"
"13.05.2024","884,25","884,25","884,37","884,13","","0,14%"
"10.05.2024","883,00","882,75","883,00","882,75","","0,06%"
"09.05.2024","882,50","882,00","882,62","881,89","","0,09%"
"08.05.2024","881,75","881,75","881,87","881,63","","0,11%"
"07.05.2024","880,75","880,75","880,75","880,22","","0,06%"
"06.05.2024","880,25","879,50","880,37","879,38","","0,17%"
"03.05.2024","878,75","878,50","878,87","878,38","","0,06%"
"02.05.2024","878,25","878,25","878,25","877,63","","0,23%"
"01.05.2024","876,22","876,22","876,22","876,22","","-0,06%"
"30.04.2024","876,75","876,75","876,87","876,63","","0,00%"
"29.04.2024","876,75","876,25","876,75","876,13","","0,23%"
"26.04.2024","874,75","874,25","874,75","874,25","","0,11%"
"25.04.2024","873,75","873,50","873,87","873,38","","0,06%"
"24.04.2024","873,25","873,25","873,37","873,13","","0,06%"
"23.04.2024","872,75","872,50","872,87","872,38","","0,06%"
"22.04.2024","872,25","872,25","872,37","872,13","","0,11%"
"19.04.2024","871,25","870,75","871,25","870,63","","0,17%"
"18.04.2024","869,75","869,75","869,87","869,63","","0,06%"
"17.04.2024","869,25","869,25","869,37","869,13","","0,06%"
"16.04.2024","868,75","868,50","868,87","868,38","","0,06%"
"15.04.2024","868,25","868,25","868,37","868,13","","0,17%"
"12.04.2024","866,75","866,25","866,75","866,25","","0,12%"
"11.04.2024","865,75","865,50","865,75","865,50","","0,06%"
"10.04.2024","865,25","865,25","865,37","864,75","","0,06%"
"09.04.2024","864,75","864,75","864,87","864,26","","0,06%"
"08.04.2024","864,25","863,50","864,37","863,39","","0,17%"
"05.04.2024","862,75","862,25","862,87","862,13","","0,12%"
"04.04.2024","861,75","861,75","861,87","861,63","","0,49%"
"03.04.2024","857,51","857,51","857,51","857,51","","0,00%"
"02.04.2024","857,51","857,51","857,51","857,51","","0,00%"
"01.04.2024","857,51","857,51","857,51","857,51","","0,00%"
"29.03.2024","857,51","857,51","857,51","857,51","","0,00%"
"28.03.2024","857,51","857,50","857,51","857,50","","-0,03%"
"27.03.2024","857,75","857,25","857,75","856,63","","0,12%"
"26.03.2024","856,75","856,25","856,87","856,25","","0,06%"
"25.03.2024","856,25","856,25","856,37","856,13","","0,18%"
"22.03.2024","854,75","854,75","854,87","854,63","","0,06%"
"21.03.2024","854,25","853,75","854,25","853,75","","0,12%"
"20.03.2024","853,25","853,25","853,50","852,24","","0,00%"
"19.03.2024","853,25","852,50","853,25","852,13","","0,12%"
"18.03.2024","852,25","851,50","852,37","851,38","","0,18%"
"15.03.2024","850,75","850,75","850,75","849,74","","0,06%"
"14.03.2024","850,25","850,25","850,37","849,74","","0,06%"
"13.03.2024","849,75","849,25","849,87","848,63","","0,32%"
"12.03.2024","847,01","848,75","848,88","847,03","","-0,15%"
"11.03.2024","848,25","848,25","848,25","848,25","","0,18%"
"08.03.2024","846,75","846,75","846,87","845,74","","0,06%"
"07.03.2024","846,25","846,00","846,25","845,63","","0,06%"
"06.03.2024","845,75","845,50","845,87","845,38","","0,06%"
"05.03.2024","845,25","844,75","845,37","844,63","","0,12%"
"04.03.2024","844,25","844,25","844,37","844,13","","0,12%"
"01.03.2024","843,25","842,65","843,25","842,58","","0,11%"
"29.02.2024","842,35","842,00","842,37","842,00","","0,07%"
"28.02.2024","841,75","841,45","841,75","840,65","","0,07%"
"27.02.2024","841,15","841,15","841,15","840,65","","0,06%"
"26.02.2024","840,65","839,80","840,67","839,78","","0,20%"
"23.02.2024","838,95","838,95","838,97","838,35","","0,07%"
"22.02.2024","838,35","838,40","838,42","837,85","","0,06%"
"21.02.2024","837,85","837,85","837,87","837,83","","0,07%"
"20.02.2024","837,25","837,05","837,32","836,97","","0,06%"
"19.02.2024","836,75","836,75","836,75","836,75","","0,20%"
"16.02.2024","835,05","835,05","835,07","835,03","","0,06%"
"15.02.2024","834,55","834,55","834,57","834,53","","0,07%"
"14.02.2024","833,95","833,95","833,97","833,92","","0,32%"
"13.02.2024","831,30","831,30","831,30","831,30","","0,00%"
"12.02.2024","831,30","831,30","831,30","831,30","","0,00%"
"09.02.2024","831,30","831,00","831,32","830,92","","0,08%"
"08.02.2024","830,65","830,70","830,72","830,63","","0,06%"
"07.02.2024","830,15","830,15","830,17","830,13","","0,07%"
"06.02.2024","829,55","829,30","829,57","829,28","","0,06%"
"05.02.2024","829,05","829,05","829,32","829,05","","0,21%"
"02.02.2024","827,35","826,85","827,37","826,83","","0,06%"
"01.02.2024","826,85","826,60","826,87","826,58","","0,06%"
